data,option,tool,aligned_reads,kraken:taxid|1535290|NC_025726.1,kraken:taxid|1923593|NC_033137.1,kraken:taxid|1923680|NC_032462.1,kraken:taxid|2697049|NC_045512.2,kraken:taxid|694009|NC_004718.3,kraken:taxid|864596|NC_014470.1
bat2008,maxNumHits20,STAR,499999,0.0,0.0,0.0,0.0,0.0,1000192.0
bat2008,maxNumHits20,bowtie2,499999,0.0,0.0,0.0,4686.0,14254.0,999998.0
bat2008,maxNumHits20,deBGA,500000,0.0,0.0,18.0,0.0,0.0,999982.0
bat2008,maxNumHits20,pufferfish,500000,0.0,0.0,0.0,64.0,988.0,1000000.0
bat2008,maxNumHits200,STAR,499999,0.0,0.0,0.0,0.0,0.0,1000192.0
bat2008,maxNumHits200,bowtie2,499999,0.0,0.0,0.0,4686.0,14254.0,999998.0
bat2008,maxNumHits200,deBGA,500000,0.0,0.0,18.0,0.0,0.0,999982.0
bat2008,maxNumHits200,pufferfish,500000,0.0,0.0,0.0,64.0,988.0,1000000.0
bat2008,primary,STAR,499999,0.0,0.0,0.0,0.0,0.0,999998.0
bat2008,primary,bowtie2,499999,0.0,0.0,0.0,0.0,0.0,999998.0
bat2008,primary,deBGA,500000,0.0,0.0,18.0,0.0,0.0,999982.0
bat2008,primary,pufferfish,500000,0.0,0.0,0.0,0.0,0.0,1000000.0
covid19,maxNumHits20,STAR,499999,0.0,0.0,0.0,1000252.0,0.0,0.0
covid19,maxNumHits20,bowtie2,499999,0.0,0.0,0.0,999998.0,42922.0,4622.0
covid19,maxNumHits20,deBGA,500000,18.0,0.0,0.0,999982.0,0.0,0.0
covid19,maxNumHits20,pufferfish,500000,0.0,0.0,0.0,1000000.0,268.0,92.0
covid19,maxNumHits200,STAR,499999,0.0,0.0,0.0,1000252.0,0.0,0.0
covid19,maxNumHits200,bowtie2,499999,0.0,0.0,0.0,999998.0,42922.0,4622.0
covid19,maxNumHits200,deBGA,500000,18.0,0.0,0.0,999982.0,0.0,0.0
covid19,maxNumHits200,pufferfish,500000,0.0,0.0,0.0,1000000.0,268.0,92.0
covid19,primary,STAR,499999,0.0,0.0,0.0,999998.0,0.0,0.0
covid19,primary,bowtie2,499999,0.0,0.0,0.0,999962.0,36.0,0.0
covid19,primary,deBGA,500000,18.0,0.0,0.0,999982.0,0.0,0.0
covid19,primary,pufferfish,500000,0.0,0.0,0.0,1000000.0,0.0,0.0
sars,maxNumHits20,STAR,499998,0.0,0.0,0.0,0.0,1000226.0,0.0
sars,maxNumHits20,bowtie2,499999,0.0,0.0,0.0,43092.0,999998.0,14410.0
sars,maxNumHits20,deBGA,500000,0.0,10.0,0.0,0.0,999990.0,0.0
sars,maxNumHits20,pufferfish,500000,0.0,0.0,0.0,232.0,1000000.0,972.0
sars,maxNumHits200,STAR,499998,0.0,0.0,0.0,0.0,1000226.0,0.0
sars,maxNumHits200,bowtie2,499999,0.0,0.0,0.0,43092.0,999998.0,14410.0
sars,maxNumHits200,deBGA,500000,0.0,10.0,0.0,0.0,999990.0,0.0
sars,maxNumHits200,pufferfish,500000,0.0,0.0,0.0,232.0,1000000.0,972.0
sars,primary,STAR,499998,0.0,0.0,0.0,0.0,999996.0,0.0
sars,primary,bowtie2,499999,0.0,0.0,0.0,48.0,999950.0,0.0
sars,primary,deBGA,500000,0.0,10.0,0.0,0.0,999990.0,0.0
sars,primary,pufferfish,500000,0.0,0.0,0.0,0.0,1000000.0,0.0
